year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2022.6673511293634,6236.152298053722,3884.329420789943,124.18366147388504,3006.9136169980598,541.9109455345555,11.659902626876825,3.7980427146717797
2022.6700889801507,6244.034828818082,3883.835478908249,123.39137388391728,3000.74521570536,488.2325864095573,11.280715187000428,4.01623717056084
2022.6728268309378,6251.712348498532,3883.4463697995448,122.69557063443094,2994.580508383097,439.39467436450497,10.997217569016996,4.279455815877094
2022.6755646817248,6259.011254678715,3883.2025409170265,122.2278003910506,2988.4211013288145,395.45237275299127,10.860920769439577,4.770328127503549
2022.678302532512,6266.170365837844,3883.267250064447,121.58224367948242,2982.270737733827,355.8884871150582,10.084473243250306,5.4516291811650355
2022.6810403832992,6273.650341307592,3883.5442782460063,120.39737484990503,2976.126502912098,320.302656177406,9.07602093114201,5.490922312527957
2022.6837782340863,6281.187062350843,3883.886677453715,119.09330166747714,2969.9793558435676,322.41790579507074,8.168375301324291,5.362502945479356
2022.6865160848733,6288.722615143001,3884.2695083580834,117.75485823445703,2963.8273155800607,290.17647337652534,7.388129559886454,5.182733280577064
2022.6892539356604,6296.160325912173,3884.673271341929,116.49875883339904,2957.6698412281003,261.14728669883687,6.719010794867516,5.037892914027972
2022.6919917864477,6303.3030249871945,3885.120078747418,115.49870971576269,2951.5082838652243,235.03134334541292,6.216185678025541,5.036236780406069
2022.6947296372348,6310.12706461385,3885.5969706665946,114.78702382576458,2945.346938209387,211.52716042115603,5.828858368133928,5.087377593976411
2022.6974674880219,6316.960584517034,3885.99706621508,114.13767347502264,2939.190573108463,190.3644598658296,5.424602432053699,5.047419509401159
2022.700205338809,6324.886696340237,3886.1008471927807,112.68596303275322,2933.0402907498237,16269.295581563012,4.882142173108104,4.542677579378048
2022.7029431895962,6332.23597564502,3886.117400730565,111.9056575815944,2926.882663358411,14642.410086908338,78.70693366539774,4.217478966210234
2022.7056810403833,6339.3668322284375,3885.8561390380537,111.6177250178481,2920.7289010312443,13178.168730765608,150.59495670663614,4.115521344560283
2022.7084188911704,6346.547136116448,3885.462734122059,111.4004421437553,2914.5871849333216,11860.175506932766,200.03294071041242,3.957550434509272
2022.7111567419577,6353.790221491232,3885.0461116948313,111.13043296695731,2908.458631162564,10673.584688895644,232.13815557767924,3.7558131106810135
2022.7138945927447,6361.330965617376,3884.7138834334514,110.4660815315784,2902.3423667331813,9605.661417868823,239.0655589127352,3.4430438372924406
2022.7166324435318,6368.781449356003,3884.2794068830985,109.98852055665382,2896.2318205198303,8644.632182394895,247.44202969341623,3.2016785787684503
2022.7193702943189,6376.045224757303,3883.6681781749626,109.86561653512442,2890.1300778481923,7780.136343555642,247.70553155102408,16.32610554032172
2022.7221081451062,6379.051274447577,3887.3703316021197,109.67238690451376,2884.0430043613737,7002.107981998092,223.23012572518675,39.90377887603413
2022.7248459958932,6373.663603197533,3899.3633182929966,109.56858638413857,2877.9693894409197,6301.895146535148,202.40877303329296,61.666235622978206
2022.7275838466803,6361.984550014139,3917.81337758773,109.28418757167442,2871.9106821420414,5671.692656220386,182.22465436869655,71.14966781997771
2022.7303216974674,6345.894281642448,3940.7062697482916,108.95631966196628,2865.863826262876,5104.467268399929,164.82227072432633,82.69402537165273
2022.7330595482547,6326.580135261782,3966.911866389181,108.5285155880351,2859.828080076584,4594.004542198443,148.59170119500388,87.6451812054317
2022.7357973990418,6304.972366110671,3995.403350669571,108.09904722784118,2853.8017333074986,4134.550159329983,134.4312548114537,91.81017664798522
