year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2017.3668720054757,3461.443599529844,1167.0501946849647,784.4874857714276,3207.0822383052546,6697.887012272212,487.59779721726284,402.3867429688445
2017.3696098562627,3406.2795940093765,1205.4334261011286,797.4079068078115,3211.370491373174,8187.074145388919,506.44499940091833,481.7720666908215
2017.37234770705,3365.1942287609063,1238.421239317693,801.4415031367553,3215.862347076136,50827.31605406691,539.6413755950537,488.12144736892446
2017.375085557837,3329.155773211513,1265.1704523743106,806.6118720165032,3220.4091206891644,45745.37315841061,1506.846898719712,476.6470775529011
2017.3778234086242,3270.1992558261363,1299.6401229577427,826.9061302612455,3225.029609246366,41170.80856832325,2750.8533328777685,496.33339346330155
2017.3805612594113,3204.4964810869405,1334.3617565795635,853.3692825243389,3229.975498100648,37053.471395763605,3781.871244130551,510.19749399645036
2017.3832991101985,3151.9504801681187,1357.6981197319742,877.6333378507064,3235.3489805406916,33348.036617195045,4294.087188556148,496.1878815916598
2017.3860369609856,3104.9263250377526,1372.024492113324,904.9961573422569,3241.1118437981586,30012.86283867068,4591.442314579464,474.3168038889502
2017.3887748117727,3058.466299983242,1380.7770065502134,936.9285894038153,3247.314822354221,27011.173344034818,4818.119980306607,452.9605595919448
2017.39151266256,3052.5916378372754,1382.2355020785594,935.0539390413006,3254.033539334354,24310.052180724208,4336.3088084292085,407.66450466642243
2017.394250513347,3013.3311804586765,1379.0759594078459,971.2327549049371,3260.70262352003,21878.980320513583,4380.2768583536945,480.50146355941786
2017.3969883641341,2949.4130053637214,1375.5448008562691,1031.856224507172,3267.956387564328,19691.07534826997,4211.562071599065,934.7075272321694
2017.3997262149212,2802.1990753345003,1438.8677150732276,1107.9310569346155,3276.200470949148,17721.92028218878,4128.312683563631,1335.8609738078294
2017.4024640657085,2603.639741821811,1557.029492842937,1179.2719574203247,3285.685026206419,15948.92646397354,4049.2078707772243,1619.2883986640436
2017.4052019164956,2379.9781801501745,1700.6841801903147,1249.1340019373608,3296.257756013641,14341.849405279212,3976.639791557528,1823.9640469815292
2017.4079397672826,2220.4116166776425,1806.267520538026,1291.7611498636802,3308.0417312121413,12907.086734711533,3737.497602572193,1818.328803517103
