year,I_H_no_intervention,I_H_with_intervention,E_H_no_intervention,E_H_with_intervention,R_H_no_intervention,R_H_with_intervention,S_H_no_intervention,S_H_with_intervention,S_M_no_intervention,S_M_with_intervention,E_M_no_intervention,E_M_with_intervention,I_M_no_intervention,I_M_with_intervention,difference,reduction_percent
2019.258726899384,1533.670312870587,1379.5447055294287,462.1233317814186,1361.0847714255644,7568.50363913748,7263.200906984283,1009.8222095699056,1287.5477147777656,10257.340854503936,10489.977798884453,3597.877344141707,2639.529291218644,447.4531561915277,352.64932203242904,154.12560734115823,10.049461481241018
2019.2614647501712,1549.1138010808963,1386.7525272122728,445.86985783437547,1349.8374458199328,7573.329182597372,7266.294165191719,1006.234551846744,1288.9218604931204,9231.596326367371,9440.92141546509,3579.1682201502053,2614.0115587199134,670.4497128603381,514.8221040581849,162.36127386862358,10.48091326507683
2019.2642026009585,1537.0087411658849,1373.7837682605298,444.2459845044875,1348.7520543321928,7578.398856385236,7269.499050264332,1015.3217113037832,1300.199025859989,8308.423352677852,8497.116349465883,3221.3639194936877,2352.611037838817,651.2791374875394,497.7338479054116,163.22497290535512,10.61965156955075
2019.2669404517453,1512.1787640901457,1351.4708636652608,444.1703544341967,1348.698580644127,7583.25294368635,7272.479024771837,1035.8011311487005,1320.0133296358167,18271.30458560206,20118.941771868453,2899.2256125584718,2117.3482926228453,586.1524707880475,447.9605880956596,160.70790042488488,10.627572892916554
2019.2696783025328,1486.9757752932237,1328.9463273784772,444.1703539261729,1348.6985798266303,7587.679907608082,7275.078979629453,1057.005056531914,1340.3658118824824,16444.364291892947,18107.57045532277,2609.3015442523106,1905.6109543360208,527.5369190290434,403.1639984654139,158.02944791474647,10.627573800493414
2019.27241615332,1462.1726535355845,1306.5930570127189,444.1703498122441,1348.6985748018462,7591.695548795399,7277.50452393981,1078.220441216164,1360.721442962668,14791.10310324318,16187.360831435288,2346.9721168373503,1703.5294825026715,474.5006023341344,360.41051236191055,155.5795965228656,10.64030271299827
2019.2751540041068,1445.5760564222926,1290.5782250743723,443.3167578117603,1347.98478684207,7595.26593278608,7279.342713842951,1092.5281463392582,1376.039772957651,13311.990591023035,14568.620944498804,2187.466095991362,1599.600178410779,467.9599973600023,353.44641750412046,154.99783134792028,10.722219053041728
2019.2778918548936,1430.9810999108956,1276.1955401356715,442.3673335828334,1347.044466860479,7598.550069703685,7280.909433771352,1105.2162901619754,1390.223957949541,11980.713853077075,13111.468649906605,2074.12186575072,1528.4411861711828,471.5212977808168,353.9153198889583,154.7855597752241,10.816743825957051
2019.280629705681,1416.1075210865256,1261.731808695568,441.8385970588502,1346.30173707528,7601.582798137539,7282.23614735139,1118.0137770764743,1404.5316055948026,10782.120594674889,11797.643419494803,1945.5885618240093,1442.8386404031332,464.3563898854431,346.7712702535634,154.3757123909577,10.901411799049768
2019.283367556468,1413.4229235556172,1256.628715563996,442.06515470787775,1345.456017390774,7604.358784114085,7283.313723470183,1118.123730981807,1409.8307422920857,9703.69927369958,10617.855157212767,2087.9301467933788,1566.0495761405075,552.290532670644,408.1866560848639,156.7942079916213,11.093226618766634
